album,Marie,Jean,Pierre,Michel,André,Jeanne,Philippe,Louis,René,Alain,Jacques,Bernard,Marcel,Daniel,Roger,Paul,Robert,Claude,Henri,Christian,Nicolas,Georges,Françoise,Monique,François,Patrick,Catherine,Nathalie,Gérard,Isabelle,Joseph,Christophe,Jacqueline,Sylvie,Anne,Julien,Maurice,Laurent,Frédéric,Martine,Eric,David,Stéphane,Pascal,Madeleine,Sébastien,Alexandre,Nicole,Suzanne,Thierry,Hélène,Christine,Olivier,Antoine,Thomas,Raymond,Louise,Marguerite,Guy,Denise,Christiane,Yvonne,Valérie,Sophie,Dominique,Charles,Sandrine,Céline,Stéphanie,Marc,Didier,Véronique,Vincent,Chantal,Yves,Marcelle,Guillaume,Renée,Maxime,Bruno,Simone,Jeannine,Andrée,Julie,Paulette,Germaine,Annie,Patricia,Lucie,Camille,Yvette,Brigitte,Léa,Alice,Emilie,Odette,Geneviève,Aurélie,Laurence,Michèle
3776 - 歳時記 (saijiki),3.5,2.5,,,,,,,,,,,3.5,,,,,,,,,,,,,3.5,,,,4.0,,,,,,3.5,,4.5,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,3.0,4.0,,,3.0,,4.0,,,,,,,,,,3.0,,,,,3.5,,,,3.5,,,,,,,,,,,,,
65daysofstatic - one time for all time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0,,,,,,,,,,,,,
65daysofstatic - the fall of math,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,2.0,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,4.0,,,,,,3.0,,,,,,,,,,,,,
90 day men - to everybody,,,,,,,,,,,,2.5,,,,4.0,,,,,,,,,,,,,,2.5,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
??? - niezapominajka (very raw demo),,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@jesuschrist3000adhd - bookey,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
a certain ratio - to each...,2.5,,,,,3.5,,,,,,,,,,,,,,,,,,,3.5,,,,,,3.5,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,3.0,2.5,,3.0,,,,4.5,,,,,,,,3.5,,,,,,,,2.5,,,,,,,,,,,,,,,
a frames - a frames 2,,,,,4.5,,4.0,,4.0,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,3.5,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,
a minor forest - flemish altruism (constituent parts 1993-1996),,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.0,,,,,3.5,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.5,,,,,,,,,,
a place to bury strangers - exploding head,2.5,,,,4.0,4.0,,,,,,,,,,4.0,,,,,,,4.0,,3.5,3.5,,,,3.5,3.5,2.0,,,3.5,3.5,,2.5,,4.0,,,,,,,,,3.5,,3.0,,,,,4.5,3.5,,,3.5,,3.5,4.0,,4.5,3.5,,,,4.5,4.0,,,3.0,3.5,,3.5,,,,4.0,,,,3.5,,3.5,,4.5,,,,,3.5,,,,,,3.5
a silver mt. zion - he has left us alone but shafts of light sometimes grace the corner of our rooms...,,,4.0,,,2.5,,,,,,,,,4.5,3.5,,,,,,,4.5,,4.0,,,3.5,,3.5,,,,3.0,2.5,3.5,,2.5,,4.0,,,,,,,,,,,,,,4.0,,,,4.0,,,,3.5,4.5,,3.5,3.5,4.0,,,,,,,,3.5,2.5,3.5,,,,,3.0,4.0,,3.5,,4.0,,,,,,,,,,,,4.0,3.0
a tribe called quest - midnight marauders,4.0,,,,,4.5,4.5,,,4.0,,4.0,,,,4.0,,,,4.5,,,4.5,,4.0,,,3.5,,,4.5,4.5,,4.5,,2.0,,3.5,,,3.5,,,,,3.5,,,,4.0,,4.5,4.5,,,,,3.5,,,,,4.0,,,4.0,,,,5.0,3.5,4.0,,4.0,4.5,4.0,4.0,3.0,,,4.5,3.5,,,3.5,4.0,4.0,,,,4.5,,,4.0,,,,,,3.5
a tribe called quest - the low end theory,4.0,,,,,5.0,4.5,,,4.0,,4.5,,,,4.0,,,,4.0,,3.5,5.0,4.5,4.0,,,4.0,,4.0,3.5,4.0,,4.0,3.5,2.0,,4.5,,4.5,3.5,,,,,2.5,,,,4.0,,4.5,4.5,,,4.0,,4.0,,,,,4.5,3.0,,4.5,4.0,,3.5,,4.0,3.5,,4.0,4.0,3.0,4.0,3.5,,3.5,4.5,,,4.0,3.0,4.5,4.5,,,2.0,5.0,,4.5,4.0,,,,,2.0,4.0
a tribe called quest - we got it from here… thank you 4 your service,3.5,,,,,4.0,4.0,,,,4.5,4.0,,,,4.0,,,,,,,4.5,,3.5,3.5,,3.0,,4.0,,4.0,,4.0,,2.5,,3.5,,4.0,,,,,,3.5,,,5.0,4.0,,,4.0,,,,2.5,3.5,,,,4.0,,,,3.5,3.5,,3.0,3.5,4.0,4.0,,4.0,3.0,3.0,3.5,,,3.0,3.5,,4.0,4.0,4.0,3.5,4.0,,,,4.5,,,3.5,,,,,,3.5
a winged victory for the sullen - a winged victory for the sullen,,,,,,4.0,,,,,,,,,,3.5,,,,,,,4.5,,3.5,,,3.5,,4.0,4.0,,,,3.5,,,,,3.0,,,,,,,,,4.5,,4.0,,,,,4.5,,,,,,4.0,3.5,,3.5,3.5,2.5,,,,,,,,3.0,,,,,,,,,,,,4.0,,,3.0,,,,3.5,,,,,,3.0
a. savage - thawing dawn,,,,,,,,,3.0,,,,,4.0,,,,,,,,,,,,,,,,,4.0,,,,,,4.5,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,2.5,,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,
