album,Marie,Jean,Pierre,Michel,André,Jeanne,Philippe,Louis,René,Alain,Jacques,Bernard,Marcel,Daniel,Roger,Paul,Robert,Claude,Henri,Christian,Nicolas,Georges,Françoise,Monique,François,Patrick,Catherine,Nathalie,Gérard,Isabelle,Joseph,Christophe,Jacqueline,Sylvie,Anne,Julien,Maurice,Laurent,Frédéric,Martine,Eric,David,Stéphane,Pascal,Madeleine,Sébastien,Alexandre,Nicole,Suzanne,Thierry,Hélène,Christine,Olivier,Antoine,Thomas,Raymond,Louise,Marguerite,Guy,Denise,Christiane,Yvonne,Valérie,Sophie,Dominique,Charles,Sandrine,Céline,Stéphanie,Marc,Didier,Véronique,Vincent,Chantal,Yves,Marcelle,Guillaume,Renée,Maxime,Bruno,Simone,Jeannine,Andrée,Julie,Paulette,Germaine,Annie,Patricia,Lucie,Camille,Yvette,Brigitte,Léa,Alice,Emilie,Odette,Geneviève,Aurélie,Laurence,Michèle
beach house - devotion,,2.5,,5.0,3.0,,,,,,,4.0,,,,,,,2.0,3.5,,3.0,3.0,,3.0,4.0,3.5,3.0,,3.0,4.5,,,,,,,,,,,,3.5,,,2.5,,,,,3.0,,4.0,,,3.5,,,,,,3.5,,,3.0,3.0,,,,,,,,2.5,3.0,,3.0,,,3.0,,,,,,3.5,,,,3.0,,,,,,,,,5.0,3.0
beach house - teen dream,3.0,2.5,,5.0,,3.0,,,,,4.0,4.5,,4.5,4.0,3.0,,,2.0,3.5,,,4.5,,3.0,4.0,4.0,3.5,,4.0,4.0,2.0,,3.5,3.5,3.5,,2.5,,3.5,,,,,,2.5,,,4.5,4.0,,,4.5,,,4.0,4.0,,4.5,,,4.0,2.5,,4.0,3.5,3.0,,3.5,,4.0,3.0,,3.5,4.0,3.0,4.0,,,3.0,,,4.0,4.5,3.5,5.0,3.0,,,2.5,4.5,,,3.5,,,,,5.0,3.5
"bear vs. shark - right now, you're in the best of hands. and if something isn't quite right, your doctor will know in a hurry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
beastie boys - paul's boutique,4.0,3.0,,,4.5,4.0,4.5,,,,,4.5,,,,4.5,,3.5,3.0,4.0,,3.5,5.0,,4.0,,,4.0,,,4.0,4.0,,4.0,3.5,1.5,,,,4.0,,,,,,1.0,,,5.0,,4.0,,4.0,,,4.5,,3.0,4.5,,,,4.0,,,4.5,4.0,,4.0,,,,,,3.5,3.0,4.5,,,,5.0,,,,,4.0,3.5,,,,4.5,,,4.0,,,,,,3.5
beastmilk - climax,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,3.5,,2.5,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,2.5,,,,,4.0,,,,3.0,,,,,,,,,,,,,3.5,,4.0,,,,,,,,,,,3.0
beasts of bourbon - the axeman's jazz,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,
beat connection - surf noir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beat happening - black candy,,,,,4.5,4.0,4.0,,,,,,,,,,,3.5,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,3.5,3.0,3.5,,4.5,,,,,,,,4.5,,4.5,,,,,,,,,,4.0,,,,,,,,,,,
beat happening - jamboree,3.0,2.5,,4.0,5.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,3.5,,3.5,,3.0,,,,,,,,,,4.5,,2.0,,3.5,,,,,,,3.5,,3.0,,,3.5,3.0,4.0,,4.0,3.5,4.0,,,,,,4.0,,3.5,,,,,,,3.5,,3.5,4.5,3.5,4.5,,,,,,,,4.0,
beat happening - you turn me on,,3.0,3.5,4.0,3.5,5.0,4.0,,5.0,,,3.5,,,,4.0,,,,3.5,,,4.0,,4.0,,,3.5,,3.0,4.0,3.0,,,3.5,3.0,,2.5,,,,,,,3.5,2.5,,,4.5,4.0,,,,,,,,,3.5,,,,3.0,,4.5,3.5,3.5,,4.5,,4.5,,,,3.5,,4.5,,4.0,,,,,,2.0,4.0,3.0,,3.5,3.5,,,,3.0,,,,,4.0,
beatrice dillon - workaround,,3.0,,,,,,,,,,3.5,,,,,,,,,,,,,4.0,3.5,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,4.5,,,,,,3.0,,,,,,,3.0,,,,,,4.0,,,,,3.0,,,,,2.5,,,,,,,,,,,,,,,
bebetune\$ - inhale c-4 $$$$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beck - odelay,4.0,,3.0,3.5,3.5,3.5,,,,,,4.5,,,,3.5,,3.0,3.0,,,,3.5,,3.5,,,3.0,,,3.5,3.0,,2.5,3.0,2.5,3.0,2.5,,2.5,,,3.5,,,3.0,,,,3.5,4.0,,4.0,,,4.0,2.5,,4.0,,,,4.0,,2.5,4.0,4.0,4.5,,,,,,,3.5,,4.0,,,,4.0,,,,,4.0,,,3.5,,,3.0,,4.0,,,,,,3.5
bed wettin' bad boys - ready for boredom,,,,,4.5,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,3.5,,,,,,,,,,,,
bed wettin' bad boys - rot,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,4.5,,,,,,,,,
bedhead - whatfunlifewas,,3.5,,3.5,,5.0,3.5,,3.5,,,5.0,,,,4.5,,,,3.0,,,,,4.0,,,,,3.0,4.0,,,,3.5,3.5,,,,3.5,,,,,,4.0,,,,,4.0,,,,,,,,,,,,,,3.5,,4.0,,,4.0,,,,,,,3.5,,,,,,,,,,,,3.5,4.5,,4.5,,,,,,,,
bedwetter - volume 1: flick your tongue against your teeth and describe the present.,,3.0,,,,,,,,,,3.5,,,,3.5,,,,3.5,,,4.0,,3.5,3.5,,,,3.0,,3.5,,,2.5,,,2.5,,3.5,,,,,,3.0,3.0,,,,,,,,,,3.5,,,,,3.5,4.0,,4.0,,3.5,,3.5,,,4.0,,,3.5,,2.5,,,3.0,,,,,4.0,,4.0,,,,,,,3.0,,,3.5,,,
bee mask - canzoni dal laboratorio del silenzio cosmico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,
beige banquet - beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beirut - gulag orkestar,,,,4.5,,,,,,,,,,,,3.5,,,,,,3.0,4.0,,3.0,3.0,,,,4.0,,,,,,,,,,3.5,,,3.5,,,,,,,,,,,,,,,,,3.5,,3.0,3.5,,2.0,,4.0,,,,,,,,,,3.5,,3.5,,3.5,,,,,,,,,,,,,,,,,,,
belle & sebastian - dear catastrophe waitress,,,,,4.0,3.5,,,,,,,,,,3.0,,,,,,,4.0,,4.0,,,,,3.0,3.0,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,3.0,4.0,,4.0,,,,,,,,3.5,,3.5,,,,,,,,,,3.5,3.5,,,,3.5,,,,,,
belle and sebastian - if you're feeling sinister,3.5,3.0,3.0,5.0,4.5,4.5,3.0,,,3.0,3.5,4.0,,,4.0,4.5,,,3.0,,,,5.0,4.5,4.5,,,4.0,,3.5,3.0,2.5,,4.0,4.0,3.0,,4.0,,3.0,,,4.0,4.0,,3.5,,,3.5,4.5,,4.0,4.0,,,,4.0,,,,,4.0,4.5,3.5,4.0,4.0,4.5,,5.0,,4.5,3.5,,,3.0,3.0,4.5,,4.0,3.0,,,,,4.0,4.5,3.0,,4.5,4.0,4.5,4.0,5.0,4.0,,,,,2.0,4.0
belle and sebastian - tigermilk,,,3.0,4.5,4.0,4.5,3.0,,,,,,,,3.5,4.0,,4.0,,,,,4.5,,5.0,,,3.5,,3.0,,,,3.5,3.0,3.5,,3.5,,2.5,,,,3.5,,2.5,,,3.5,3.5,,,,,,,,,4.0,,,,3.5,,3.5,4.5,3.5,,4.5,3.5,,,,,3.0,3.0,4.0,,4.0,3.0,,,,,3.0,,,,3.5,,4.5,,4.0,3.5,,,,,2.0,
belmondawg - h.a.u. (hustle as usual),,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belong - october language,,3.5,,,,,,,,,,4.0,,,,4.5,,,,,,,,,4.0,,,,,4.0,4.5,3.0,,,3.5,,,,,4.0,,,,,,,,,,,3.5,,,,,4.0,,,,,,,,,,,,,,,4.0,,,3.5,,,,,,,,,,,,4.0,3.5,,,2.0,,,,,,3.5,,,,4.0
ben frost - a u r o r a,3.5,,,3.5,,4.0,,,,,,4.0,,,,4.5,,,2.0,,,,3.5,4.0,3.5,3.0,,3.0,,3.0,,3.5,,,,,,,,3.5,,,,,,,,,,,,,,,,4.0,,,,,,,,,3.0,,3.0,,4.0,,4.5,,,,3.5,,,,,,,,,,4.0,,,,,3.5,,,,4.0,,,,,3.5,3.5
ben frost - by the throat,,,,,,4.5,,,,,,,,,,5.0,,,,,3.5,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,4.5,,,,,,,4.5,,3.5,,,,,,4.0,,,3.0,4.0,,,,,,,,,,3.5,,3.0,,,2.5,,,,3.5,,,,,,3.5
ben frost - theory of machines,,,,,,3.5,,,,,,,,,,4.5,,,,,3.0,,,,,3.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.5,,,,3.5,,,,,,
benoît pioulard - précis,,,,,,,,,,,,,,,,4.5,3.0,,,,,,,,3.5,,,,,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
beth israel - dental denial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,4.0,3.5,,,,,,,,,,,
better person - it's only you,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,3.5,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.5,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
better person - something to lose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,3.0,,,3.5,,,,,,,,,,,,,,,,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,
beulah - when your heartstrings break,,,,4.0,,4.0,,,,,,,,,,,,,,,,,4.5,,3.5,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,,,,,,
bib - delux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,
bib - pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
bibio - ambivalence avenue,4.0,,,,,,,,,,,3.5,,,,,3.5,,,,,,4.0,,3.0,,,,,3.5,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,4.0,,,,,,,,3.0,,3.5,,,,
bibio - phantom brickworks,3.5,,,,,,,,,,,3.0,,,,,,,,,,,4.0,,,3.5,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.5,,,,,,,,,,,3.5,,,,,,,,,,,,,,
bielizna - taniec lekkich goryli,,,,,,,4.0,,,,,,,,,,,,,,,,,,3.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,4.0
big black - atomizer,4.0,3.0,4.0,3.0,4.5,4.0,4.0,3.5,,5.0,,4.0,,,,4.5,,3.5,2.5,,,4.0,4.5,,4.0,3.5,,4.0,,5.0,3.5,,,4.0,5.0,4.5,,3.0,,3.5,,,,,2.5,4.5,,,5.0,4.0,,,,,,3.5,3.5,,,4.0,4.0,4.0,5.0,2.5,5.0,4.0,3.5,,5.0,,4.0,,,3.0,3.0,3.0,4.5,3.5,2.0,4.0,,,,,3.5,,4.0,,,3.0,4.5,,,4.5,,,,,3.0,4.0
big black - racer-x,,,,,,,,,,,,4.0,,,,,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,3.5,,,,,,4.0,,,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,4.5,,,,,,,,,
big black - songs about fucking,3.5,2.5,3.5,3.5,4.0,4.0,4.0,3.0,,4.0,,4.0,,,,4.0,,4.0,2.5,,,3.5,4.5,,4.0,3.5,,3.5,,4.0,3.0,,,3.5,3.5,4.0,,2.5,,3.5,,,3.0,,3.5,3.0,,3.0,4.5,3.5,,,,4.0,,3.5,4.0,,,3.5,3.5,3.5,4.5,2.0,4.0,4.0,3.5,,4.5,4.0,3.5,3.5,,3.0,3.5,3.0,4.5,3.0,1.5,,,,,,3.5,,4.0,,3.5,3.0,4.5,,,4.0,,,,,3.5,4.0
big blood & the bleedin' hearts - big blood & the bleedin' hearts,,,,4.0,,,,,4.5,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,3.5,,,,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,3.5,4.5,,,,,,,,3.5,
big blood - dark country magic,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,4.0,,3.0,,,,,4.0,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
"big blood - space gallery jan. 27, 2007 / sahara club jan. 28, 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,4.0,,,,,,,,,,,,,,,,,4.0,,,,,,,3.5,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,5.0,,,,,,,,,
big brother & the holding company - cheap thrills,,,,,,3.5,,,,,,,,,,,3.5,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,
big star - #1 record,,,,,,4.0,4.0,,4.0,5.0,,4.5,,,,4.0,,3.5,2.5,,3.5,,4.0,,4.0,,,4.0,,,3.5,3.0,,,4.0,3.0,,2.5,4.0,,,,,,,4.0,,,,2.5,4.0,,,,,,,,3.5,,,,2.5,,,4.5,3.0,,4.5,,3.5,,,,4.5,,5.0,,,,4.0,,,,3.0,4.5,4.0,,,,0.5,,,3.0,,,,,,
big star - 3rd,,,,,,4.5,3.5,,,4.0,,4.5,,,,5.0,,,4.0,,,,4.0,,4.5,,,4.0,,,,3.0,,,,,,,,,,,3.5,,,3.5,,,,3.5,,,,,,,,,,,,,,,3.5,4.5,,,4.5,,4.0,,,,4.5,3.0,4.5,,,,2.5,,,,3.0,4.0,3.5,,3.0,,0.5,,,4.0,,,,,,
big thief - capacity,,,3.5,4.0,,,,,,,,4.0,,,,,,,,,,,4.5,,,3.5,,,,3.0,3.5,,5.0,,3.5,,,,,,,,,,,,3.5,,,,,,,,,3.0,,,4.0,,,3.5,,,,2.0,3.5,3.5,2.0,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,3.5,,,,,,,3.0
big thief - dragon new warm mountain i believe in you,4.0,,,4.0,,,,,,,,5.0,,,4.0,,,,3.5,3.5,,,,,3.5,3.5,,,,,,,,4.0,,,,3.0,,,,,,,,,4.0,,,,,,,,,4.5,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
big thief - masterpiece,,,,4.0,,,,,,,,4.0,,,,,,,,,,,4.5,,3.0,3.0,,,,3.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.5,,,,,3.0,,,,,,3.0,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
big thief - two hands,,,,,,,,,,,,4.5,,3.5,,,,,,,,,4.0,,3.0,3.0,,,,2.0,4.0,,4.0,,,,,,,,,,,,,,3.5,,,,,,3.0,,,3.5,,,3.5,,,3.0,,,,3.0,,4.5,,,3.0,,3.5,,,,,,,,,,,,,,3.5,,,,4.5,3.5,,,,,,,,3.0
big thief - u.f.o.f.,3.5,,,,,,,,,,,4.0,,,,,,,2.5,,,,3.5,,3.5,3.5,,,,3.5,4.0,,4.0,,4.0,3.0,,,,3.5,,,,,,,3.5,,,,,3.5,,,,3.0,2.5,,4.5,,,3.5,,,3.5,3.5,,4.0,2.5,,3.5,,3.0,,3.5,,,,,,,,,,,,3.5,,,,4.5,,3.5,,,,,,,3.5
big ups - before a million universes,,,,3.5,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,3.5,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.5,4.0,,,,2.5,,,,,,,,,,2.5,,,,,
bill callahan - shepherd in a sheepskin vest,3.5,,,,,4.0,,,,,,4.0,,,,,,,,,,,,,4.0,2.5,,,,3.0,,,4.0,,,,,,,,,,,,,,3.0,,,,,,,,,4.0,,3.0,,,,3.5,,,,3.0,,,,,3.5,,,,3.5,,4.0,,,,,,,,,,,,3.5,,,,,,,,,,,
bill nelson - the love that whirls (diary of a thinking heart),,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bill orcutt - a new way to pay old debts,,,,,,,,,4.0,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.5,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,4.5,,,,,,,,,
bill ryder-jones - west kirby county primary,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bill ryder-jones - yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
billie holiday - lady sings the blues,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,,,,,,,3.5,,,,,,,,,,,
billy joel - greatest hits: volume i & volume ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
billy woods & kenny segal - hiding places,3.5,,,,,,,,,,,4.0,,,,,,,,3.5,,,4.5,,3.5,3.5,,,,3.0,,3.5,4.0,,,,,2.5,,,,,,,,3.0,3.5,,,4.0,,4.5,4.0,,,3.0,,3.0,,,,2.5,,,,3.0,3.0,,,3.5,3.5,3.5,,3.0,3.0,3.0,,,,,3.0,3.5,4.0,,4.0,,3.5,4.0,,,4.5,,,3.5,,,4.0,,,3.5
billy woods - aethiopes,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biosphere - substrata,3.5,4.0,,,,4.5,,,,,,,,,,4.5,,,,,,,4.5,,5.0,,,3.5,,3.5,3.5,,,4.0,3.0,,,3.5,,4.5,,,,,,,,,,,,,,,,4.0,,,,,,3.5,,,4.5,4.0,4.0,,,,4.0,,,,4.0,,,,,,,,,,3.0,3.5,4.5,,,,4.5,,,3.5,,5.0,,,,4.0
bitch ass darius - follow the sound,,,,,,4.0,,,3.5,,,,,,,,,,,,,,,,4.5,,,3.0,,,3.0,4.5,,,3.5,,,3.5,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,
bitch magnet - umber,,,,,,,,,4.0,,,4.0,,,,3.5,,,,,,3.5,,,3.5,,,,,3.5,,,,,,,,,3.5,,,,,,,2.5,,,,,,,,,,,,,,,,,,3.5,4.0,,,,3.5,4.0,,,,,,,3.5,3.5,,,,,,,,,,,,3.5,4.5,,,,,,,,,
bitch prefect - big time,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
biting tongues - libreville,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
björk - homogenic,4.5,,,4.0,4.0,3.5,4.0,,,,,4.0,3.5,,4.5,4.5,,,3.5,4.0,,,4.5,,4.0,4.5,,4.0,4.0,3.0,4.0,3.0,,4.0,4.0,4.0,,4.5,4.0,4.5,3.5,,4.0,,,4.0,,4.0,4.0,4.0,,4.5,,4.0,,4.5,3.5,5.0,,,,4.0,4.0,3.0,3.5,4.5,,3.0,,,3.5,4.0,,,4.0,,3.0,4.0,,3.5,,,,,4.0,4.5,4.0,,,2.0,4.5,,,4.5,,3.5,,,3.5,4.5
björk - vespertine,3.5,,,,,3.5,,,,,4.5,3.5,3.5,,4.5,4.5,,,3.5,4.5,3.5,,,,4.0,4.0,4.5,3.5,4.0,3.0,4.0,,,4.0,3.0,4.5,,5.0,,4.0,3.5,,,,,3.5,4.0,4.0,4.5,3.5,,5.0,,,,4.5,,4.5,,,,3.5,4.0,3.5,3.0,4.5,4.0,3.5,,,4.0,4.0,,,3.0,3.5,3.0,4.0,,3.5,,,5.0,,4.0,4.0,3.0,,,,4.5,,,3.5,,3.5,,,4.0,5.0
black baron - abject skin,,4.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.5,,,,,,,,,,3.5,,,,3.5,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black baron - divine chains,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"black country, new road - for the first time",,2.0,4.0,3.5,,,3.0,4.0,,3.0,4.0,4.0,,3.0,,,,,3.0,4.0,,,3.0,,3.5,3.0,,3.0,,3.5,4.5,3.5,,3.5,,4.5,3.5,2.0,,4.0,,4.0,,3.5,,,4.0,3.5,,4.0,,,,,,3.5,,4.0,4.5,,4.5,4.0,3.0,3.0,3.5,,4.0,2.5,2.5,3.5,,2.5,4.0,2.5,3.5,3.0,3.0,3.0,4.0,3.0,3.5,,4.0,,4.5,,3.5,4.0,,3.0,4.5,1.0,3.5,3.5,,,,4.0,3.0,3.5
black dice - beaches and canyons,,3.0,,,4.0,4.0,4.0,,3.5,,,4.5,,,,3.5,,,,,,,4.0,4.5,3.5,,,3.5,,2.5,3.0,3.5,,,3.0,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,3.5,,4.0,,,,3.5,,,,,,,,,,,4.5,,,,3.0,,,,,,,,,,
black dice - creature comforts,,3.5,,,,4.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
black eyes - black eyes,,,,,,4.0,3.0,,3.0,,,4.0,,,,4.0,,,,,,,,,,,,,,3.5,4.0,3.5,,,3.5,4.0,,,,4.0,,,,,,4.5,,,,,,,,,,3.0,,,,,,,,,4.0,,,,4.0,,,,,,3.5,,3.0,,4.5,,,,,,,,3.5,,4.0,,,,,4.0,,,,,,
black eyes - cough,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,3.5,4.0,3.0,,,,3.5,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.5,,3.5,,,,,,,,3.0,,,,,,,,,,,,,
black flag - damaged,4.0,,,4.0,4.5,4.5,,,,4.5,,4.0,,,,,,4.0,2.0,3.0,,4.0,4.5,,4.0,3.5,,,,3.5,4.0,3.0,,3.5,3.5,3.0,,2.5,5.0,3.0,,4.5,,,,,,,,4.0,4.0,,,,,4.0,2.5,3.5,3.0,,,3.0,4.0,,3.0,4.0,4.0,,4.0,,,,,3.5,,3.0,3.0,,4.0,,4.0,,,,3.0,4.0,,,3.5,1.5,5.0,,,3.5,,,,,,3.5
black flag - my war,,,,,5.0,4.5,5.0,,,4.0,,4.0,,,,,,3.5,,4.0,,,3.5,4.5,,,,,,3.5,4.0,,,,3.5,,,3.0,5.0,,,4.0,,,,,,,,3.5,3.5,,,,,,,,3.0,,,,3.5,,3.5,,3.5,,3.5,,,,,3.5,,,2.5,,4.0,,3.0,,,,3.0,4.5,,,3.5,2.0,5.0,,,,,,,,,
black flag - nervous breakdown,4.0,,,,,,,,,4.0,,4.0,,,,3.5,,4.5,,4.0,,,4.0,,,,,,,3.5,4.0,,,,2.5,,,2.5,,,,,,,,,,,,,4.5,,3.5,,,,,,,,,,3.0,,3.5,,4.0,,,,,,,,,,4.5,,,,,,,,,4.5,,,,,,,,4.0,,,,,,
black marble - a different arrangement,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,3.0,,,,,,,,,,3.5,,,,,,,,,,,,,3.0,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,4.0,,,,,,
black marble - bigger than life,,2.5,,,,,,,,,,,,,,,,,,,,,4.0,,3.5,2.5,,,,,,3.5,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,3.5,,,,,,,,3.0,,,,,,,,,,,2.5,,,,4.0,,,,,,,,,3.0,,,,,,3.5
